Song,Artist,Mapper,BPM,Environment,~Duration,Y Valid,Y Plays,Y Rank,Y Combo,Y Score,Y NP10S,Y ~NPS,Y Notes,N Valid,N Plays,N Rank,N Combo,N Score,N NP10S,N ~NPS,N Notes,H Valid,H Plays,H Rank,H Combo,H Score,H NP10S,H ~NPS,H Notes,E Valid,E Plays,E Rank,E Combo,E Score,E NP10S,E ~NPS,E Notes,E+ Valid,E+ Plays,E+ Rank,E+ Combo,E+ Score,E+ NP10S,E+ ~NPS,E+ Notes,ID
I Need You,Megaphonix,OST Vol. 2,128,,02:10,,,,,,,1.11,145,,,,,,,1.71,224,,,,,,,2.58,338,,,,,,,3.23,423,,,,,,,4.86,635,INeedYou
Rum n' Bass,Boom Kitty,OST Vol. 2,132,,03:09,,,,,,,0.82,155,,,,,,,1.5,285,,,,,,,2.11,401,,,,,,,3.17,603,,,,,,,4.96,943,RumNBass
Unlimited Power (ft. Frank Bentley),Jaroslav Beck,OST Vol. 2,198,,02:00,,,,,,,1.03,124,,,,,,,1.66,199,,,,,,,2.52,302,,,,,,,3.17,380,,,,,,,5.13,615,UnlimitedPower
Origins (ft. Mutrix),Jaroslav Beck & Jan Ilavsky,OST Vol. 3,175,,02:28,,,,,,,1.34,199,,,,,,,1.93,286,,,,,,,2.57,380,,,,,,,3.66,542,,,,,,,3.94,584,Origins
Reason For Living,Morgan Page,OST Vol. 3,128,,03:34,,,,,,,1.1,235,,,,,,,1.76,376,,,,,,,2.74,587,,,,,,,3.8,815,,,,,,,4.22,903,ReasonForLiving
Give a Little Love,Pegboard Nerds,OST Vol. 3,128,,02:43,,,,,,,1.29,211,,,,,,,1.85,301,,,,,,,2.13,347,,,,,,,4.26,695,,,,,,,4.85,791,GiveALittleLove
Full Charge,PIXL,OST Vol. 3,125,,02:14,,,,,,,1.5,201,,,,,,,2.08,280,,,,,,,3.07,413,,,,,,,4.27,574,,,,,,,5.31,714,FullCharge
Immortal,Slippy,OST Vol. 3,150,,02:54,,,,,,,1.51,264,,,,,,,2.38,415,,,,,,,3.11,542,,,,,,,3.86,674,,,,,,,4.55,793,Immortal
Burning Sands,Boom Kitty,OST Vol. 3,142,,03:37,,,,,,,1.51,327,,,,,,,2.17,472,,,,,,,3.25,706,,,,,,,4.26,926,,,,,,,5.18,1126,BurningSands
Into the Dream,Jaroslav Beck,OST Vol. 4,183,,03:14,,,,,,,1.41,274,,,,,,,1.87,362,,,,,,,2.78,540,,,,,,,4.12,800,,,,,,,5.34,1036,IntoTheDream
It Takes Me (ft. Waylon Reavis),Boom Kitty,OST Vol. 4,220,,02:56,,,,,,,1.51,266,,,,,,,2.2,388,,,,,,,3.85,680,,,,,,,5.14,909,,,,,,,5.79,1023,ItTakesMe
LUDICROUS+,Jaroslav Beck,OST Vol. 4,260,,01:52,,,,,,,1.62,183,,,,,,,2.24,253,,,,,,,3.4,384,,,,,,,4.47,504,,,,,,,5.33,602,LudicrousPlus
Spin Eternally,Camellia,OST Vol. 4,222,,03:48,,,,,,,1.46,332,,,,,,,2.55,581,,,,,,,4.24,967,,,,,,,5.81,1325,,,,,,,7.65,1746,SpinEternally
Spooky Beat,Jaroslav Beck,OST Extras,212,,02:05,,,,,,,2.13,268,,,,,,,2.47,310,,,,,,,3.26,410,,,,,,,4.13,519,,,,,,,4.78,601,SpookyBeat
FitBeat,Jaroslav Beck,OST Extras,215,,01:52,,,,,,,1.35,151,,,,,,,2.31,259,,,,,,,2.79,313,,,,,,,3.91,438,,,,,,,4.8,538,FitBeat
Crab Rave,Noisestorm,OST Extras,125,,02:33,,,,,,,1.15,176,,,,,,,2.48,381,,,,,,,3.37,518,,,,,,,4.19,643,,,,,,,4.65,715,CrabRave
POP/STARS - K/DA,League of Legends,OST Extras,170,,03:09,,,,,,,1.19,226,,,,,,,1.8,341,,,,,,,2.57,486,,,,,,,3.58,679,,,,,,,4.93,934,PopStars
One Hope (ft. David Binney),KNOWER,OST Extras,145,,02:52,,,,,,,1.65,286,,,,,,,2.17,376,,,,,,,2.91,503,,,,,,,4.23,731,,,,,,,5.39,932,OneHope
Angel Voices,Virtual Self,OST Extras,166,,06:12,,,,,,,1.63,607,,,,,,,2.15,800,,,,,,,2.55,948,,,,,,,3.23,1202,,,,,,,4.52,1681,AngelVoices
EXiT This Earth's Atmosphere,Camellia,OST Camellia,170,,05:09,,,,,,,1.36,420,,,,,,,2.42,749,,,,,,,3.6,1117,,,,,,,4.81,1492,,,,,,,5.67,1756,ExitThisEarthsAtomosphere
GHOST,Camellia,OST Camellia,220,,05:13,,,,,,,2.04,640,,,,,,,2.66,834,,,,,,,4.13,1296,,,,,,,6.49,2035,,,,,,,8.69,2726,Ghost
Light It Up,Camellia,OST Camellia,174,,06:10,,,,,,,1.73,639,,,,,,,2.56,948,,,,,,,4.03,1492,,,,,,,5.98,2214,,,,,,,6.24,2310,LightItUp
Crystallized,Camellia,OST Camellia,174,,03:58,,,,,,,1.57,374,,,,,,,2.6,620,,,,,,,4.04,965,,,,,,,5.62,1340,,,,,,,5.97,1425,Crystallized
Cycle Hit,"Kasai Harcores (DJ Genki,C-Show,Camellia)",OST Camellia,175,,05:17,,,,,,,1.57,499,,,,,,,2.38,754,,,,,,,3.36,1066,,,,,,,5.15,1633,,,,,,,6.37,2023,CycleHit
WHAT THE CAT!?,Camellia,OST Camellia,200,,03:25,,,,,,,2.2,453,,,,,,,3.22,662,,,,,,,4.2,864,,,,,,,5.19,1067,,,,,,,6.26,1286,WhatTheCat
